VDS,C,Curve
1.8582089552238805,27.542287033381662,yellow
1.8805970149253732,27.542287033381662,yellow
1.9029850746268657,27.542287033381662,yellow
1.9253731343283582,27.542287033381662,yellow
1.9477611940298507,27.542287033381662,yellow
1.8582089552238805,27.42722177276501,yellow
1.8805970149253732,27.42722177276501,yellow
1.9029850746268657,27.42722177276501,yellow
1.9253731343283582,27.42722177276501,yellow
1.9477611940298507,27.42722177276501,yellow
1.9701492537313432,27.42722177276501,yellow
1.992537313432836,27.42722177276501,yellow
2.014925373134328,27.42722177276501,yellow
2.037313432835821,27.42722177276501,yellow
2.0597014925373136,27.42722177276501,yellow
1.8582089552238805,27.312637228008455,yellow
1.8805970149253732,27.312637228008455,yellow
1.9029850746268657,27.312637228008455,yellow
1.9253731343283582,27.312637228008455,yellow
1.9477611940298507,27.312637228008455,yellow
1.9701492537313432,27.312637228008455,yellow
1.992537313432836,27.312637228008455,yellow
2.014925373134328,27.312637228008455,yellow
2.037313432835821,27.312637228008455,yellow
2.0597014925373136,27.312637228008455,yellow
2.082089552238806,27.312637228008455,yellow
2.1044776119402986,27.312637228008455,yellow
2.126865671641791,27.312637228008455,yellow
2.1492537313432836,27.312637228008455,yellow
2.171641791044776,27.312637228008455,yellow
2.1940298507462686,27.312637228008455,yellow
1.8582089552238805,27.198531390793125,yellow
1.8805970149253732,27.198531390793125,yellow
1.9029850746268657,27.198531390793125,yellow
1.9253731343283582,27.198531390793125,yellow
1.9477611940298507,27.198531390793125,yellow
1.9701492537313432,27.198531390793125,yellow
1.992537313432836,27.198531390793125,yellow
2.014925373134328,27.198531390793125,yellow
2.037313432835821,27.198531390793125,yellow
2.0597014925373136,27.198531390793125,yellow
2.082089552238806,27.198531390793125,yellow
2.1044776119402986,27.198531390793125,yellow
2.126865671641791,27.198531390793125,yellow
2.1492537313432836,27.198531390793125,yellow
2.171641791044776,27.198531390793125,yellow
2.1940298507462686,27.198531390793125,yellow
2.216417910447761,27.198531390793125,yellow
2.2388059701492535,27.198531390793125,yellow
2.2611940298507465,27.198531390793125,yellow
2.283582089552239,27.198531390793125,yellow
